title,image_id,source_url,cloudinary_secure_url,cloudinary_public_id,status,error
Everything's Peachy,96phmq0sromhcchu,https://maphub.net/media/images/9/6p/96phmq0sromhcchu/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759477/public-art-map/96phmq0sromhcchu.jpg,public-art-map/96phmq0sromhcchu,ok,
Feast,7sqggtojw9yjc7qp,https://maphub.net/media/images/7/sq/7sqggtojw9yjc7qp/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759478/public-art-map/7sqggtojw9yjc7qp.jpg,public-art-map/7sqggtojw9yjc7qp,ok,
"Feed Your Body, Feed Your Soul:",cb4xpz2v9nlb2sa2,https://maphub.net/media/images/c/b4/cb4xpz2v9nlb2sa2/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759479/public-art-map/cb4xpz2v9nlb2sa2.jpg,public-art-map/cb4xpz2v9nlb2sa2,ok,
Flower and Line Mural,kiqu1ax1pn2g24f1,https://maphub.net/media/images/k/iq/kiqu1ax1pn2g24f1/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759479/public-art-map/kiqu1ax1pn2g24f1.jpg,public-art-map/kiqu1ax1pn2g24f1,ok,
Freedom Fountain,r7ner5dxl4bkj2eq,https://maphub.net/media/images/r/7n/r7ner5dxl4bkj2eq/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759479/public-art-map/r7ner5dxl4bkj2eq.jpg,public-art-map/r7ner5dxl4bkj2eq,ok,
Galapagos Tortoise,n5fjm6dlsv9cb0wo,https://maphub.net/media/images/n/5f/n5fjm6dlsv9cb0wo/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759479/public-art-map/n5fjm6dlsv9cb0wo.jpg,public-art-map/n5fjm6dlsv9cb0wo,ok,
Georges Mural (Wrap),kf8d9wx60br3bnpv,https://maphub.net/media/images/k/f8/kf8d9wx60br3bnpv/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759479/public-art-map/kf8d9wx60br3bnpv.jpg,public-art-map/kf8d9wx60br3bnpv,ok,
Gerenuk,bsxsjvtvlovwks73,https://maphub.net/media/images/b/sx/bsxsjvtvlovwks73/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759480/public-art-map/bsxsjvtvlovwks73.jpg,public-art-map/bsxsjvtvlovwks73,ok,
Geri,kd9jgparfyei0f4q,https://maphub.net/media/images/k/d9/kd9jgparfyei0f4q/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759480/public-art-map/kd9jgparfyei0f4q.jpg,public-art-map/kd9jgparfyei0f4q,ok,
Giraffe,sqo4sqki2msdxiam,https://maphub.net/media/images/s/qo/sqo4sqki2msdxiam/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759481/public-art-map/sqo4sqki2msdxiam.jpg,public-art-map/sqo4sqki2msdxiam,ok,
Giving Praise: Black Pride,odrcnrp78qskufwj,https://maphub.net/media/images/o/dr/odrcnrp78qskufwj/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759481/public-art-map/odrcnrp78qskufwj.jpg,public-art-map/odrcnrp78qskufwj,ok,
"Glenn, answer your phone.",ugvurea23zyw3zcf,https://maphub.net/media/images/u/gv/ugvurea23zyw3zcf/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759481/public-art-map/ugvurea23zyw3zcf.jpg,public-art-map/ugvurea23zyw3zcf,ok,
Heart of Texas,ugpmszcne0l6lpfr,https://maphub.net/media/images/u/gp/ugpmszcne0l6lpfr/1024_768.jpg,https://res.cloudinary.com/dgbcpsrj7/image/upload/v1776759482/public-art-map/ugpmszcne0l6lpfr.jpg,public-art-map/ugpmszcne0l6lpfr,ok,
